State,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,Gren Votes,Green Percent,Green Electoral Votes,Other Votes,Other Percent,Other Electoral Votes,Margin,Margin %,State Total,State Code
Alabama,"795,696",0,–,"1,255,925",1,900.00%,"12,328",0,–,"3,397",0,–,"6,992",0,–,"?460,229",?22.19%,207433800.00%,AL
Alaska,"122,640",0,–,"164,676",1,300.00%,"7,392",0,–,"2,917",0,–,"2,870",0,–,"?42,036",?13.99%,30049500.00%,AK
Arizona,"1,025,232",0,–,"1,233,654",1,1100.00%,"32,100",0,–,"7,816",0,–,452,0,–,"?208,422",?9.06%,229925400.00%,AZ
Arkansas,"394,409",0,–,"647,744",1,600.00%,"16,276",0,–,"9,305",0,–,"1,734",0,–,"?253,335",?23.69%,106946800.00%,AR
California,"7,854,285",1,5500.00%,"4,839,958",0,–,"143,221",0,–,"85,638",0,–,"115,445",0,–,"3,014,327",0,1303854700.00%,CA
Colorado,"1,323,101",1,900.00%,"1,185,243",0,–,"35,545",0,–,"7,508",0,–,"18,121",0,–,"137,858",0,256951800.00%,CO
Connecticut,"905,083",1,700.00%,"634,892",0,–,"12,580",0,–,863,0.06%,–,"5,542",0.36%,–,"270,191",17.33%,155896000.00%,CT
Delaware,"242,584",1,300.00%,"165,484",0,–,"3,882",0,–,"1,940",0,–,31,0.01%,–,"77,100",18.63%,41392100.00%,DE
District of Columbia,"267,070",1,300.00%,"21,381",0,–,"2,083",0.71%,–,"2,458",0.84%,–,772,0.26%,–,"245,689",83.63%,29376400.00%,DC
Florida,"4,237,756",1,2900.00%,"4,163,447",0,–,"44,726",0,–,"8,947",0,–,"19,303",0,–,"74,309",0,847417900.00%,FL
Georgia,"1,773,827",0,–,"2,078,688",1,1600.00%,"45,324",0,–,"1,516",0,–,695,0,–,"?304,861",?7.82%,390005000.00%,GA
Hawaii,"306,658",1,400.00%,"121,015",0,–,"3,840",0,–,"3,184",0,–,–,–,–,"185,643",42.71%,43469700.00%,HI
Idaho,"212,787",0,–,"420,911",1,400.00%,"9,453",0,–,"4,402",0,–,"4,721",0,–,"?208,124",?31.91%,65227400.00%,ID
Illinois,"3,019,512",1,2000.00%,"2,135,216",0,–,"56,229",0,–,"30,222",0,–,835,0,–,"884,296",0,524201400.00%,IL
Indiana,"1,152,887",0,–,"1,420,543",1,1100.00%,"50,111",1.91%,–,625,0,–,368,0,–,"?267,656",?10.20%,262453400.00%,IN
Iowa,"822,544",1,600.00%,"730,617",0,–,"12,926",0,–,"3,769",0,–,"12,324",0,–,"91,927",0,158218000.00%,IA
Kansas,"440,726",0,–,"692,634",1,600.00%,"20,456",0,–,714,0,–,"5,441",0,–,"?251,908",?21.72%,115997100.00%,KS
Kentucky,"679,370",0,–,"1,087,190",1,800.00%,"17,063",0,–,"6,337",0,–,"7,252",0,–,"?407,820",?22.69%,179721200.00%,KY
Louisiana,"809,141",0,–,"1,152,262",1,800.00%,"18,157",0,–,"6,978",0.35%,–,"7,527",0,–,"?343,121",?17.21%,199406500.00%,LA
Maine,"401,306",1,200.00%,"292,276",0,–,"9,352",0,–,"8,119",1.14%,–,"2,127",0.30%,–,"109,030",0,71318000.00%,ME–AL
Maine ME-1,"223,035",1,100.00%,"142,937",0,–,"4,501",0,–,"3,946",1.05%,–,–,–,–,"80,098",0,37414900.00%,ME1
Maine ME2,"177,998",1,100.00%,"149,215",0,–,"4,843",0,–,"4,170",1.24%,–,–,–,–,"28,783",0,33622600.00%,ME2
Maryland,"1,677,844",1,1000.00%,"971,869",0,–,"30,195",0,–,"17,110",0,–,"10,309",0,–,"705,975",0,270732700.00%,MD
Massachusetts,"1,921,290",1,1100.00%,"1,188,314",0,–,"30,920",0,–,"20,691",0,–,"6,552",0,–,"732,976",0,316776700.00%,MA
Michigan,"2,564,569",1,1600.00%,"2,115,256",0,–,"7,774",0,–,"21,897",0,–,"21,465",0,–,"449,313",0,473096100.00%,MI
Minnesota,"1,546,167",1,1000.00%,"1,320,225",0,–,"35,098",0,–,"13,023",0,–,"22,048",0,–,"225,942",0,293656100.00%,MN
Mississippi,"562,949",0,–,"710,746",1,600.00%,"6,676",0,–,"1,588",0,–,"3,625",0,–,"?147,797",?11.50%,128558400.00%,MS
Missouri,"1,223,796",0,–,"1,482,440",1,1000.00%,"43,151",0,–,–,–,–,"7,936",0,–,"?258,644",?9.38%,275732300.00%,MO
Montana,"201,839",0,–,"267,928",1,300.00%,"14,165",0,–,–,–,–,116,0.02%,–,"?66,089",?13.65%,48404800.00%,MT
Nebraska,"302,081",0,–,"475,064",1,500.00%,"11,109",0,–,–,–,–,"6,125",0,–,"?172,983",?21.78%,79437900.00%,NE–AL
Nebraska NE-1,"108,082",0,–,"152,021",1,100.00%,"3,847",0,–,–,–,–,762,0,–,"-43,949",-16.60%,26471200.00%,NE1
Nebraska NE-2,"121,889",0,–,"140,976",1,100.00%,"3,393",0,–,–,–,–,469,0.18%,–,"-19,087",-7.16%,26672700.00%,NE2
Nebraska NE-3,"72,110",0,–,"182,067",1,100.00%,"3,869",0,–,–,–,–,"1,177",0,–,"?109,957",?42.42%,25922300.00%,NE3
Nevada,"531,373",1,600.00%,"463,567",0,–,"10,968",0,–,–,–,–,"9,010",0,–,"67,806",0,101491800.00%,NV
New Hampshire,"369,561",1,400.00%,"329,918",0,–,"8,212",0,–,324,0,–,"2,957",0.42%,–,"39,643",5.58%,71097200.00%,NH
New Jersey,"2,125,101",1,1400.00%,"1,477,568",0,–,"21,045",0,–,"9,888",0,–,"6,690",0,–,"647,533",0,364029200.00%,NJ
New Mexico,"415,335",1,500.00%,"335,788",0,–,"27,788",0,–,"2,691",0,–,"2,156",0,–,"79,547",0,78375800.00%,NM
New York,"4,485,741",1,2900.00%,"2,490,431",0,–,"47,256",0,–,"39,982",0,–,"17,749",0.25%,–,"1,995,310",0,708115900.00%,NY
North Carolina,"2,178,391",0,–,"2,270,395",1,1500.00%,"44,515",0,–,–,–,–,"12,071",0.27%,–,"?92,004",?2.04%,450537200.00%,NC
North Dakota,"124,827",0,–,"188,163",1,300.00%,"5,231",0,–,"1,361",0,–,"3,045",0,–,"?63,336",?19.63%,32262700.00%,ND
Ohio,"2,827,709",1,1800.00%,"2,661,437",0,–,"49,493",0,–,"18,573",0,–,"23,635",0,–,"166,272",0,558084700.00%,OH
Oklahoma,"443,547",0,–,"891,325",1,700.00%,–,–,–,–,–,–,–,–,–,"?447,778",?33.54%,133487200.00%,OK
Oregon,"970,488",1,700.00%,"754,175",0,–,"24,089",0,–,"19,427",0,–,"21,091",0,–,"216,313",0,178927000.00%,OR
Pennsylvania,"2,990,274",1,2000.00%,"2,680,434",0,–,"49,991",0,–,"21,341",0,–,"11,630",0,–,"309,840",5.39%,575367000.00%,PA
Rhode Island,"279,677",1,400.00%,"157,204",0,–,"4,388",0,–,"2,421",0,–,"2,359",0.53%,–,"122,473",27.46%,44604900.00%,RI
South Carolina,"865,941",0,–,"1,071,645",1,900.00%,"16,321",0,–,"5,446",0,–,"4,765",0,–,"?205,704",?10.47%,196411800.00%,SC
South Dakota,"145,039",0,–,"210,610",1,300.00%,"5,795",0,–,–,–,–,"2,371",0,–,"?65,571",?18.02%,36381500.00%,SD
Tennessee,"960,709",0,–,"1,462,330",1,1100.00%,"18,623",0,–,"6,515",0,–,"10,400",0,–,"?501,621",?20.40%,245857700.00%,TN
Texas,"3,308,124",0,–,"4,569,843",1,3800.00%,"88,580",0,–,"24,657",0,–,"2,647",0,–,"?1,261,719",?15.78%,799385100.00%,TX
Utah,"251,813",0,–,"740,600",1,600.00%,"12,572",0,–,"3,817",0,–,"8,638",0,–,"?488,787",?48.04%,101744000.00%,UT
Vermont,"199,239",1,300.00%,"92,698",0,–,"3,487",0,–,594,0,–,"3,272",1.09%,–,"106,541",35.60%,29929000.00%,VT
Virginia,"1,971,820",1,1300.00%,"1,822,522",0,–,"31,216",0,–,"8,627",0,–,"20,304",0,–,"149,298",0,385448900.00%,VA
Washington,"1,755,396",1,1200.00%,"1,290,670",0,–,"42,202",0,–,"20,928",0,–,"16,320",0,–,"464,726",0,312551600.00%,WA
West Virginia,"238,269",0,–,"417,655",1,500.00%,"6,302",0,–,"4,406",0.66%,–,"3,806",0,–,"?179,386",?26.76%,67043800.00%,WV
Wisconsin,"1,620,985",1,1000.00%,"1,407,966",0,–,"20,439",0,–,"7,665",0,–,"11,379",0,–,"213,019",0,306843400.00%,WI
Wyoming,"69,286",0,–,"170,962",1,300.00%,"5,326",0,–,–,–,–,"3,487",0,–,"?101,676",?40.82%,24906100.00%,WY
U.S. Total,"65,915,795",1,33200.00%,"60,933,504",0,20600.00%,"1,275,971",0,–,"469,627",0,–,"490,510",0,–,"4,982,291",0,12908541000.00%,US
