state/territory,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Alabama Alabama,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.50%,0.70%,1.10%,1.60%
Alaska Alaska,,,,7.10%,5.30%,3.80%,0.80%,0.80%,1.00%,0.80%,0.80%,0.90%,2.00%,3.60%,4.50%,5.40%,7.70%
Arizona Arizona,0.00%,0.20%,4.00%,1.30%,1.40%,0.80%,0.50%,0.60%,0.50%,0.40%,0.40%,0.50%,0.80%,1.50%,1.90%,2.80%,3.80%
Arkansas Arkansas,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.30%,0.50%,0.90%,1.20%,2.20%
California California,9.20%,8.80%,8.70%,6.10%,3.80%,3.40%,3.10%,3.00%,2.40%,1.70%,2.00%,2.80%,5.30%,9.60%,11.20%,13.00%,15.80%
Colorado Colorado,0.00%,0.00%,0.30%,0.30%,0.10%,0.30%,0.30%,0.40%,0.30%,0.50%,0.50%,0.50%,1.00%,1.80%,2.30%,2.80%,3.70%
Connecticut Connecticut,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.10%,0.00%,0.00%,0.10%,0.10%,0.20%,0.60%,1.50%,2.40%,3.80%,4.80%
Delaware Delaware,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.70%,1.40%,2.10%,3.20%,4.30%
"Washington, D.C. District of Columbia",0.00%,0.00%,0.00%,0.00%,0.20%,0.10%,0.20%,0.20%,0.20%,0.40%,0.60%,0.70%,1.00%,1.80%,2.80%,3.50%,5.00%
Florida Florida,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.60%,1.20%,1.80%,2.40%,3.10%
Georgia (U.S. state) Georgia,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.40%,1.20%,2.20%,3.20%,4.60%
Hawaii Hawaii,,,,,80.90%,76.50%,78.40%,78.00%,73.30%,72.90%,65.30%,57.70%,60.50%,61.80%,51.00%,48.60%,48.00%
Idaho Idaho,,28.50%,10.40%,2.40%,1.70%,0.70%,0.50%,0.40%,0.30%,0.40%,0.40%,0.50%,0.60%,0.90%,1.00%,1.20%,1.70%
Illinois Illinois,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.20%,0.20%,0.40%,1.40%,2.50%,3.40%,4.60%,5.90%
Indiana Indiana,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.40%,0.70%,1.00%,1.60%,2.50%
Iowa Iowa,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.40%,0.90%,1.30%,1.70%,2.60%
Kansas Kansas,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.60%,1.30%,1.70%,2.40%,3.00%
Kentucky Kentucky,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.50%,0.70%,1.10%,1.80%
Louisiana Louisiana,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.60%,1.00%,1.20%,1.50%,1.90%
Maine Maine,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.30%,0.50%,0.70%,1.00%,1.20%
Maryland Maryland,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.10%,0.20%,0.50%,1.50%,2.90%,4.00%,5.50%,6.90%
Massachusetts Massachusetts,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.40%,0.90%,2.40%,3.80%,5.30%,7.20%
Michigan Michigan,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.20%,0.60%,1.10%,1.80%,2.40%,3.30%
Minnesota Minnesota,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.20%,0.70%,1.80%,2.90%,4.00%,5.30%
Mississippi Mississippi,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.30%,0.50%,0.70%,0.90%,1.10%
Missouri Missouri,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.50%,0.80%,1.20%,1.60%,2.40%
Montana Montana,,9.50%,4.50%,1.80%,1.70%,0.60%,0.40%,0.30%,0.20%,0.20%,0.20%,0.20%,0.30%,0.50%,0.60%,0.60%,0.90%
Nebraska Nebraska,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.00%,0.10%,0.10%,0.20%,0.40%,0.80%,1.30%,1.80%,2.80%
Nevada Nevada,0.00%,7.30%,8.70%,6.00%,3.70%,2.30%,1.90%,1.30%,0.70%,0.50%,0.50%,0.70%,1.80%,3.20%,4.90%,7.20%,9.60%
New Hampshire New Hampshire,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.30%,0.80%,1.30%,2.20%,2.60%
New Jersey New Jersey,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.00%,0.10%,0.10%,0.30%,1.40%,3.50%,5.70%,8.30%,10.20%
New Mexico New Mexico,0.00%,0.00%,0.00%,0.20%,0.20%,0.20%,0.10%,0.10%,0.10%,0.10%,0.20%,0.20%,0.50%,0.90%,1.20%,1.40%,1.90%
New York (state) New York,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.30%,0.70%,1.80%,3.90%,5.50%,7.30%,9.70%
North Carolina North Carolina,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.40%,0.80%,1.40%,2.20%,3.40%
North Dakota North Dakota,,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.50%,0.60%,1.00%,1.80%
Ohio Ohio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.40%,0.80%,1.20%,1.70%,2.50%
Oklahoma Oklahoma,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.60%,1.10%,1.50%,1.70%,2.50%
Oregon Oregon,0.00%,3.70%,5.40%,3.00%,3.10%,1.60%,1.00%,0.90%,0.60%,0.40%,0.50%,0.70%,1.30%,2.40%,3.20%,3.70%,5.10%
Pennsylvania Pennsylvania,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.50%,1.20%,1.80%,2.70%,3.90%
Rhode Island Rhode Island,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.40%,0.60%,1.80%,2.40%,2.90%,3.60%
South Carolina South Carolina,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.40%,0.60%,0.90%,1.30%,1.90%
South Dakota South Dakota,0.00%,0.00%,0.20%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.40%,0.60%,0.90%,1.90%
Tennessee Tennessee,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.70%,1.00%,1.40%,2.10%
Texas Texas,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.20%,0.80%,1.90%,2.80%,3.80%,5.50%
Utah Utah,0.00%,0.50%,0.30%,0.40%,0.40%,0.70%,0.70%,0.80%,0.50%,0.70%,0.60%,0.60%,1.00%,1.90%,2.40%,2.00%,3.60%
Vermont Vermont,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.60%,0.90%,1.30%,1.80%
Virginia Virginia,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,1.20%,2.60%,3.80%,5.50%,7.20%
Washington (state) Washington,0.00%,1.00%,4.20%,1.00%,1.80%,1.40%,1.50%,1.50%,1.10%,0.70%,1.00%,1.30%,2.50%,4.30%,5.90%,7.20%,10.30%
West Virginia West Virginia,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.30%,0.40%,0.50%,0.70%,0.80%
Wisconsin Wisconsin,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.20%,0.40%,1.10%,1.70%,2.30%,3.00%
Wyoming Wyoming,,1.60%,4.40%,0.70%,0.90%,1.30%,0.80%,0.50%,0.30%,0.20%,0.20%,0.30%,0.40%,0.60%,0.70%,0.80%,1.00%
Puerto Rico Puerto Rico,,,,,,,,,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.10%
